,Tweet ID,Tweet Time,Favorite Count,Tweet Text,Name,Tweets Ago,compound,positive,neutral,negative
0,1264224821493157890,2020-05-23 16:01:00,29,"#FindingDory = perfect weekend film!   🙌🐠

6.20pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/epX87pTvAr https://t.co/cshunjl5Kx",BBC,0,0.6114,0.174,0.826,0.0
1,1264209722007343104,2020-05-23 15:01:00,63,"We hope this brings you some much needed tranquility. 😌

This is the Mindful Mix with David Attenborough. 🍃

Listen on @BBCSounds. 🎧
https://t.co/yODWwxQ2Zr",BBC,1,0.8074,0.249,0.751,0.0
2,1264179523194703872,2020-05-23 13:01:00,32,"""If any good can come of me sharing my experience, I hope it's that it encourages more men to be vocal and not keep their feelings bottled up.""

@professorgreen: Suicide and Me | Via @bbcthree.

https://t.co/rWxWBp4huj",BBC,2,0.7184,0.245,0.66,0.096
3,1264176066379296768,2020-05-23 12:47:16,0,"RT @BBCTheOneShow: In support of #MentalHealthAwarenessWeek @professorgreen, @craigdavid, @jamesarthur23 and @snowpatrol's Gary Lightbody t…",BBC,3,0.4019,0.172,0.828,0.0
4,1264164423763025920,2020-05-23 12:01:00,43,"Israeli investors develop face mask with remote-controlled mouth hole.
https://t.co/NHFpQqUvk5",BBC,4,0.0,0.0,1.0,0.0
5,1264149323966636034,2020-05-23 11:01:00,53,"The Duke of Cambridge, Gareth Southgate and this team of football royalty kick off an important discussion on men’s mental health. 

#ARoyalTeamTalk is streaming now on @BBCiPlayer.
https://t.co/QVQVq1sLVz",BBC,5,0.2023,0.062,0.938,0.0
6,1264125919616094209,2020-05-23 09:28:00,50,"Who haven't we heard from yet on Coronavirus? Oh right, Philomena Cunk! 

@charltonbrooker's #AntiviralWipe is streaming now on @BBCiPlayer.
https://t.co/lr0VXkNMAN",BBC,6,0.0,0.0,1.0,0.0
7,1263907732387553281,2020-05-22 19:01:00,74,"Tonight chatting to #GrahamNorton...

✨ @katyperry!
✨@SteveCarell!
✨Dakota Johnson!
✨Alan Carr (@chattyman)!
✨Music from @johnlegend!

#TheGNShow | 10:45pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/Ep9GopYOdP https://t.co/MeYjlSM8zf",BBC,7,0.5374,0.114,0.886,0.0
8,1263907732299624455,2020-05-22 19:01:00,86,"Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX",BBC,8,0.126,0.152,0.718,0.131
9,1263862433891807232,2020-05-22 16:01:00,29,"Here is @matthaig1's simple piece of advice for better #MentalHealth.

What's your simple tip?
https://t.co/toSiVTl3bX",BBC,9,0.4404,0.172,0.828,0.0
10,1263861765319819266,2020-05-22 15:58:20,0,"RT @bbcouch: Ouch favourites @MarkOneinFour and @ms_molly_vog bare all in this mental health special of #OuchCabinFever

When the world wen…",BBC,10,0.4019,0.124,0.876,0.0
11,1263854083292762112,2020-05-22 15:27:49,0,"RT @BBCR1: Here's how the #BigWeekend Headliner and Radio 1 stages are looking for Saturday 23rd and Sunday 24th May! 😍

Check out set-time…",BBC,11,0.5093,0.112,0.888,0.0
12,1263833003865841671,2020-05-22 14:04:03,10,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,BBC,12,0.0,0.0,1.0,0.0
13,1263832234928173060,2020-05-22 14:01:00,19,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make it easier. 

@OpenUniversity #MentalHealth https://t.co/Rh62116ZOi",BBC,13,0.0772,0.106,0.76,0.133
14,1263824036930387968,2020-05-22 13:28:25,0,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…",BBC,14,-0.2263,0.0,0.921,0.079
15,1263814756454064128,2020-05-22 12:51:33,0,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…",BBC,15,0.5473,0.15,0.85,0.0
16,1263808259653341186,2020-05-22 12:25:44,0,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…",BBC,16,0.3612,0.111,0.889,0.0
17,1263786936055054336,2020-05-22 11:01:00,23,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and even models.  👗👔

https://t.co/gD0faZhV0c",BBC,17,0.2732,0.087,0.913,0.0
18,1263763123993010176,2020-05-22 09:26:23,13,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",BBC,18,0.4019,0.153,0.847,0.0
19,1263760948176867330,2020-05-22 09:17:44,9,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,BBC,19,0.0,0.0,1.0,0.0
20,1263759477930627072,2020-05-22 09:11:53,11,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,BBC,20,0.0,0.0,1.0,0.0
21,1263752945679708161,2020-05-22 08:45:56,14,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",BBC,21,0.4019,0.153,0.847,0.0
22,1263744350930055169,2020-05-22 08:11:47,9,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk",BBC,22,0.4019,0.153,0.847,0.0
23,1263741637672361987,2020-05-22 08:01:00,143,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.

#MentalHealth @BBC_Teach

https://t.co/0JJVFa2Skp",BBC,23,0.1779,0.183,0.659,0.158
24,1263620841679405056,2020-05-22 00:01:00,247,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety and Me 

David Harewood: Psychosis and Me

Alastair Campbell: Depression and Me 

@BegumNadiya @DavidHarewood @campbellclaret
https://t.co/WwVplYYHV4",BBC,24,-0.3197,0.082,0.773,0.144
25,1263567742776406016,2020-05-21 20:30:00,489,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx",BBC,25,0.765,0.268,0.732,0.0
